"doc_id","X1","X2","X3","X4","X5","X6","X7"
199,0.0036101083032491,0.0036101083032491,0.111913357400722,0.870036101083033,0.0036101083032491,0.0036101083032491,0.0036101083032491
200,0.00288184438040346,0.0893371757925072,0.118155619596542,0.00288184438040346,0.780979827089337,0.00288184438040346,0.00288184438040346
201,0.00421940928270042,0.00421940928270042,0.172995780590717,0.679324894514768,0.130801687763713,0.00421940928270042,0.00421940928270042
202,0.0072992700729927,0.883211678832117,0.0802919708029197,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927
203,0.0445344129554656,0.732793522267207,0.00404858299595142,0.00404858299595142,0.125506072874494,0.0850202429149798,0.00404858299595142
204,0.00288184438040346,0.00288184438040346,0.00288184438040346,0.175792507204611,0.00288184438040346,0.00288184438040346,0.809798270893372
205,0.15203426124197,0.00214132762312634,0.00214132762312634,0.794432548179872,0.0235546038543897,0.0235546038543897,0.00214132762312634
206,0.268722466960352,0.00440528634361234,0.00440528634361234,0.00440528634361234,0.488986784140969,0.00440528634361234,0.224669603524229
207,0.00164744645799012,0.1499176276771,0.0675453047775947,0.00164744645799012,0.00164744645799012,0.775947281713344,0.00164744645799012
208,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.961783439490446,0.00636942675159236,0.00636942675159236
209,0.0235546038543897,0.880085653104925,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.0877944325481799
210,0.00272479564032698,0.574931880108992,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.411444141689373,0.00272479564032698
211,0.00460829493087558,0.00460829493087558,0.972350230414747,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558
212,0.96420581655481,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.0246085011185682
213,0.0026525198938992,0.0026525198938992,0.718832891246684,0.241379310344828,0.0026525198938992,0.0026525198938992,0.0291777188328912
214,0.00179533213644524,0.0197486535008977,0.917414721723519,0.00179533213644524,0.0556552962298025,0.00179533213644524,0.00179533213644524
215,0.49063670411985,0.265917602996255,0.228464419475655,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993
216,0.120954003407155,0.836456558773424,0.00170357751277683,0.00170357751277683,0.00170357751277683,0.0357751277683135,0.00170357751277683
217,0.0114942528735632,0.0114942528735632,0.35632183908046,0.0114942528735632,0.241379310344828,0.0114942528735632,0.35632183908046
218,0.00440528634361234,0.00440528634361234,0.00440528634361234,0.973568281938326,0.00440528634361234,0.00440528634361234,0.00440528634361234
219,0.00336700336700337,0.00336700336700337,0.00336700336700337,0.00336700336700337,0.00336700336700337,0.037037037037037,0.946127946127946
220,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.97752808988764
221,0.00348432055749129,0.10801393728223,0.0383275261324042,0.630662020905923,0.00348432055749129,0.212543554006969,0.00348432055749129
222,0.0531400966183575,0.00483091787439614,0.874396135265701,0.00483091787439614,0.00483091787439614,0.0531400966183575,0.00483091787439614
223,0.2544080604534,0.00251889168765743,0.00251889168765743,0.581863979848867,0.00251889168765743,0.153652392947103,0.00251889168765743
224,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.972350230414747
225,0.287066246056782,0.00315457413249211,0.0662460567823344,0.00315457413249211,0.00315457413249211,0.0347003154574133,0.602523659305994
226,0.037037037037037,0.00336700336700337,0.00336700336700337,0.00336700336700337,0.239057239057239,0.71043771043771,0.00336700336700337
227,0.00239808153477218,0.026378896882494,0.026378896882494,0.529976019184652,0.290167865707434,0.122302158273381,0.00239808153477218
228,0.844311377245509,0.00598802395209581,0.00598802395209581,0.125748502994012,0.00598802395209581,0.00598802395209581,0.00598802395209581
229,0.767584097859327,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.217125382262997,0.00305810397553517,0.00305810397553517
230,0.773279352226721,0.00404858299595142,0.00404858299595142,0.0850202429149798,0.0850202429149798,0.0445344129554656,0.00404858299595142
231,0.461928934010152,0.0050761421319797,0.512690355329949,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797
